城市	日期	污染指数	首要污染物	空气质量级别	空气质量状况	年	月	日 
兰州	2000-6-5	108	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	5
兰州	2000-6-6	163	可吸入颗粒物	Ⅲ2	轻度污染	2000	6	6
兰州	2000-6-7	86	可吸入颗粒物	Ⅱ	良	2000	6	7
兰州	2000-6-8	126	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	8
兰州	2000-6-9	135	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	9
兰州	2000-6-10	85	可吸入颗粒物	Ⅱ	良	2000	6	10
兰州	2000-6-11	73	可吸入颗粒物	Ⅱ	良	2000	6	11
兰州	2000-6-12	92	可吸入颗粒物	Ⅱ	良	2000	6	12
兰州	2000-6-13	68	可吸入颗粒物	Ⅱ	良	2000	6	13
兰州	2000-6-14	107	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	14
兰州	2000-6-15	143	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	15
兰州	2000-6-16	107	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	16
兰州	2000-6-17	113	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	17
兰州	2000-6-18	104	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	18
兰州	2000-6-19	80	可吸入颗粒物	Ⅱ	良	2000	6	19
兰州	2000-6-20	101	二氧化硫	Ⅲ1	轻微污染	2000	6	20
兰州	2000-6-21	111	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	21
兰州	2000-6-22	138	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	22
兰州	2000-6-23	104	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	23
兰州	2000-6-24	71	可吸入颗粒物	Ⅱ	良	2000	6	24
兰州	2000-6-25	37	--	Ⅰ	优	2000	6	25
兰州	2000-6-26	106	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	26
兰州	2000-6-27	163	可吸入颗粒物	Ⅲ2	轻度污染	2000	6	27
兰州	2000-6-28	91	可吸入颗粒物	Ⅱ	良	2000	6	28
兰州	2000-6-29	103	可吸入颗粒物	Ⅲ1	轻微污染	2000	6	29
兰州	2000-6-30	87	可吸入颗粒物	Ⅱ	良	2000	6	30
兰州	2000-7-1	89	可吸入颗粒物	Ⅱ	良	2000	7	1
兰州	2000-7-2	58	可吸入颗粒物	Ⅱ	良	2000	7	2
兰州	2000-7-3	94	可吸入颗粒物	Ⅱ	良	2000	7	3
兰州	2000-7-4	138	可吸入颗粒物	Ⅲ1	轻微污染	2000	7	4
兰州	2000-7-5	101	可吸入颗粒物	Ⅲ1	轻微污染	2000	7	5
兰州	2000-7-6	122	可吸入颗粒物	Ⅲ1	轻微污染	2000	7	6
兰州	2000-7-7	104	可吸入颗粒物	Ⅲ1	轻微污染	2000	7	7
兰州	2000-7-8	105	可吸入颗粒物	Ⅲ1	轻微污染	2000	7	8
兰州	2000-7-9	143	可吸入颗粒物	Ⅲ1	轻微污染	2000	7	9
